# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.88 3.13 3.40
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4096	2048	8388608	single-workgroup-tree	1024	2	-	1024	4096	2	30	64	606.417	636.792	732.334	46.186	29054.291	29197.542	29311.917	85.155	451.5536	453.3452	2.0848	measured
16384	32	524288	multi-pass-split	2	16	-	1	0	3	30	64	173.750	220.708	229.083	14.071	1916.792	2036.208	2158.958	97.656	27.6673	28.8175	1.7734	measured
16384	32	524288	multi-pass-split	4	8	-	1	0	3	30	64	181.250	218.000	228.791	12.791	2008.625	2138.041	2241.209	94.576	29.0060	30.4768	1.7042	measured
16384	32	524288	multi-pass-split	8	4	governed	1	0	3	30	64	189.583	217.458	239.500	43.072	2157.500	2318.000	2369.834	74.620	31.2368	33.3419	1.8681	measured
16384	32	524288	multi-pass-split	16	2	-	1	0	3	30	64	200.333	221.750	238.167	36.963	2470.875	2724.500	2816.625	134.895	36.0403	39.7262	2.7279	measured
16384	32	524288	single-workgroup-tree	2	16	-	2	16	2	30	64	212.708	236.125	243.708	9.112	3288.000	3492.167	3546.000	105.299	48.8142	51.6832	1.8161	measured
16384	32	524288	single-workgroup-tree	4	8	-	4	16	2	30	64	213.625	234.000	251.000	11.849	3305.916	3508.958	3568.209	107.021	49.0840	51.9835	1.8868	measured
16384	32	524288	single-workgroup-tree	8	4	governed	8	32	2	30	64	196.542	239.875	253.875	35.106	3322.208	3469.125	3585.041	135.363	49.6137	51.2579	2.7058	measured
16384	32	524288	single-workgroup-tree	16	2	-	16	64	2	30	64	194.958	236.208	251.583	14.831	3294.667	3437.417	3569.709	111.962	49.2017	50.8128	2.0126	measured
65536	16	1048576	multi-pass-split	2	8	-	1	0	3	30	64	214.167	236.542	262.416	28.004	3733.917	3898.459	3960.333	81.840	55.8690	58.1257	1.7436	measured
65536	16	1048576	multi-pass-split	4	4	governed	1	0	3	30	64	215.292	247.084	266.958	28.914	4050.292	4278.791	4346.292	98.653	60.8730	63.9953	2.0249	measured
65536	16	1048576	multi-pass-split	8	2	-	1	0	3	30	64	230.792	257.625	282.416	34.570	4822.792	5042.209	5112.542	103.777	72.8889	75.9458	2.1960	measured
65536	16	1048576	single-workgroup-tree	2	8	-	2	16	2	30	64	303.500	332.375	349.083	32.506	9402.292	9598.750	9657.167	92.786	144.4253	147.0853	1.9888	measured
65536	16	1048576	single-workgroup-tree	4	4	governed	4	16	2	30	64	299.625	325.667	355.625	19.454	9417.500	9615.167	9650.167	86.936	144.7282	147.4524	1.6887	measured
65536	16	1048576	single-workgroup-tree	8	2	-	8	32	2	30	64	300.917	331.250	355.292	33.635	9421.458	9611.667	9667.834	90.653	144.7705	147.3082	1.9728	measured

# shapes	7
# variants_attempted	130
# variants_measured	122
# variants_declined	8
# load_after	3.03 3.18 3.40
