layer	position	rank	lane	value_hex	value
22	2	1	13	0x4286bcb3	67.3685531616211
22	2	2	62	0xc22c4f19	-43.07724380493164
22	2	3	7	0xc20d1c0b	-35.27738571166992
22	3	0	35	0x43082534	136.14532470703125
22	3	1	13	0x4279074c	62.25712585449219
22	3	2	2	0x4227a944	41.91529846191406
22	3	3	18	0x420ca752	35.16339874267578
22	4	0	35	0x42ee328c	119.09872436523438
22	4	1	13	0x42411772	48.27289581298828
22	4	2	18	0x42114a50	36.32257080078125
22	4	3	91	0xc20e6845	-35.60182571411133
22	5	0	35	0x428062e9	64.19318389892578
22	5	1	13	0x42320ede	44.51451873779297
22	5	2	18	0x42098619	34.38095474243164
22	5	3	7	0xc2000332	-32.00312042236328
22	6	0	35	0x42d2ad76	105.33879089355469
22	6	1	13	0x425c0f64	55.01502990722656
22	6	2	7	0xc22c8ce8	-43.137603759765625
22	6	3	2	0x42181944	38.02467346191406
22	7	0	35	0x42d3f50e	105.97862243652344
22	7	1	13	0x42812330	64.5687255859375
22	7	2	2	0x42048eec	33.13957214355469
22	7	3	18	0x42046164	33.09510803222656
22	8	0	35	0x432fcbef	175.79661560058594
22	8	1	13	0x42a79c9b	83.80587005615234
22	8	2	2	0x42369b1b	45.65147018432617
22	8	3	45	0x420aa9e2	34.66590118408203
22	9	0	35	0x4344affe	196.68746948242188
22	9	1	13	0x42d67676	107.23136901855469
22	9	2	7	0xc25cb995	-55.18123245239258
22	9	3	2	0x4255c961	53.446659088134766
22	10	0	35	0x43429f9a	194.62344360351562
22	10	1	13	0x42f6da89	123.42682647705078
22	10	2	7	0xc28daefe	-70.84178161621094
22	10	3	2	0x4270f6e5	60.24110794067383
22	11	0	35	0x4330d722	176.84036254882812
22	11	1	13	0x43050e6e	133.05636596679688
22	11	2	2	0x4290f214	72.47280883789062
22	11	3	277	0x42553d83	53.3100700378418
22	12	0	35	0x43228360	162.51318359375
