sample_index	series_key	observation_index	duration_ns
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	10	13338917
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	11	13364791
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	12	13321417
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	13	13328791
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	14	13313250
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	15	13307084
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	16	13318167
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	17	13322875
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	18	13295208
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	19	13297375
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	20	13318917
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	21	13315333
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	22	13323375
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	23	13294125
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	24	13279209
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	25	13303958
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	26	13319375
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	27	13291583
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	28	13325708
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	29	13291250
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	30	13302292
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	31	13305625
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	32	13284209
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	33	13286917
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	34	13288875
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	35	13296250
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	36	13294875
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	37	13326375
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	38	13283833
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	39	13302125
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	40	13287292
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	41	13274583
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	42	13290458
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	43	13291083
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	44	13282917
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	45	13278250
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	46	13312000
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	47	13280875
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	48	13293625
6	6:request-five-specialist:targets=2:providers=1:kind=propose:program=five-op	49	13296500
7	7:request-add-four-groups:targets=2:providers=1:kind=propose:program=add-chain	0	6117375
7	7:request-add-four-groups:targets=2:providers=1:kind=propose:program=add-chain	1	6118084
7	7:request-add-four-groups:targets=2:providers=1:kind=propose:program=add-chain	2	6132958
